League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Liga_Categoria;Time;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada;Bonus_Total;Score_Prioridade
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 8 home league matches;Home vs AIK W;;17/10/2025 14:00;;VERDADEIRO;OVER_2.5;8;CASA;ALTA_CONFIABILIDADE;Linkoping W;0.898714105339105;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: nan) [BONUS +18%] Previsao: MANTERA STREAK;0.18;
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 8 league matches;Home vs AIK W;;17/10/2025 14:00;;VERDADEIRO;OVER_2.5;8;CASA;ALTA_CONFIABILIDADE;Linkoping W;0.898714105339105;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: nan) [BONUS +18%] Previsao: MANTERA STREAK;0.18;
Super League;Shanghai Port have had BTTS in their last 8 away league matches;Away vs Qingdao Hainiu;;17/10/2025 07:00;;VERDADEIRO;BTTS;8;FORA;BAIXA_CONFIABILIDADE;Shanghai Port;0.8483650793650792;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK;0.1;
Super League;Shanghai Port have had Over 2.5 Match Goalsin their last 8 away league matches;Away vs Qingdao Hainiu;;17/10/2025 07:00;;VERDADEIRO;OVER_2.5;8;FORA;BAIXA_CONFIABILIDADE;Shanghai Port;0.818714105339105;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK;0.1;
Superliga;FC København have had BTTS in their last 8 league matches;Away vs Silkeborg IF;1.7;17/10/2025 14:00;;VERDADEIRO;BTTS;8;FORA;BAIXA_CONFIABILIDADE;FC København;0.8004107142857143;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.7) [BONUS +10%] Previsao: MANTERA STREAK;0.1;13.606.982.142.857.100
Eerste Divisie;Almere City have had Over 2.5 Match Goalsin their last 7 league matches;Home vs SC Cambuur;1.67;17/10/2025 15:00;1-1;FALSO;OVER_2.5;7;CASA;BAIXA_CONFIABILIDADE;Almere City;0.7896825396825394;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 7 jogos (Odds: 1.67) [BONUS +10%] Previsao: MANTERA STREAK;0.1;13.187.698.412.698.400
Liga 1;CFR Cluj have had BTTS in their last 8 league matches;Away vs Csikszereda;1.73;16/10/2025 14:30;;VERDADEIRO;BTTS;8;FORA;BAIXA_CONFIABILIDADE;CFR Cluj;0.7870178571428573;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.73) [BONUS +10%] Previsao: MANTERA STREAK;0.1;1.361.540.892.857.140
Serie A;SE Palmeiras have Won their last 8 home league matches;Home vs Bragantino;1.36;15/10/2025 19:00;;VERDADEIRO;VITORIA;8;CASA;BAIXA_CONFIABILIDADE;SE Palmeiras;0.7835355339105335;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 8 jogos (Odds: 1.36) [BONUS +10%] Previsao: MANTERA STREAK;0.1;10.656.083.261.183.200
Eerste Divisie;Den Haag have Won their last 7 league matches;Home vs FC Dordrecht;1.3;17/10/2025 15:00;;VERDADEIRO;VITORIA;7;CASA;BAIXA_CONFIABILIDADE;Den Haag;0.7456585497835496;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 7 jogos (Odds: 1.3) [BONUS +10%] Previsao: MANTERA STREAK;0.1;0.9693561147186145
Norwegian 1. Division;Lillestrøm have Won their last 6 home league matches;Home vs Lyn;1.42;17/10/2025 14:00;;VERDADEIRO;VITORIA;6;CASA;BAIXA_CONFIABILIDADE;Lillestrøm;0.7319503968253965;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 6 jogos (Odds: 1.42) [BONUS +10%] Previsao: MANTERA STREAK;0.1;1.039.369.563.492.060
Super League;Shanghai Port have had BTTS in their last 11 league matches;Away vs Qingdao Hainiu;;17/10/2025 07:00;;VERDADEIRO;BTTS;11;FORA;BAIXA_CONFIABILIDADE;Shanghai Port;0.6548353174603174;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 11 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK;0.1;
Serie A;SE Palmeiras have had Over 2.5 Match Goalsin their last 6 home league matches;Home vs Bragantino;1.85;15/10/2025 19:00;;VERDADEIRO;OVER_2.5;6;CASA;BAIXA_CONFIABILIDADE;SE Palmeiras;0.6346547619047619;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.85) [BONUS +10%] Previsao: MANTERA STREAK;0.1;11.741.113.095.238.000
Norwegian 1. Division;Lyn have Won their last 7 away league matches;Away vs Lillestrøm;7.0;17/10/2025 14:00;5-1;FALSO;VITORIA;7;FORA;BAIXA_CONFIABILIDADE;Lyn;0.6318611111111111;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: VITORIA em 7 jogos (Odds: 7.0) [BONUS +10%] Previsao: MANTERA STREAK;0.1;4.423.027.777.777.770
First Division;Aalborg BK have had Over 2.5 Match Goalsin their last 6 league matches;Away vs B 93;1.5;17/10/2025 14:00;;VERDADEIRO;OVER_2.5;6;FORA;BAIXA_CONFIABILIDADE;Aalborg BK;0.6180853174603175;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.5) [BONUS +10%] Previsao: MANTERA STREAK;0.1;0.9271279761904763
Bundesliga 2;Hannover have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Schalke 04;1.65;17/10/2025 13:30;;VERDADEIRO;OVER_2.5;6;CASA;BAIXA_CONFIABILIDADE;Hannover;0.6086230158730158;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.65) [BONUS +10%] Previsao: MANTERA STREAK;0.1;1.004.227.976.190.470
Norwegian 1. Division;Lillestrøm have had Over 2.5 Match Goalsin their last 6 home league matches;Home vs Lyn;1.53;17/10/2025 14:00;;VERDADEIRO;OVER_2.5;6;CASA;BAIXA_CONFIABILIDADE;Lillestrøm;0.6056746031746031;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.53) [BONUS +10%] Previsao: MANTERA STREAK;0.1;0.9266821428571428
